long,lat,easting,northing,Y_mean,Y_mean_c,Y_sd,prob,quantile,quantile_c,elevation,slope,aspect,curvature,twi
-98.07958780223456,26.068230303570854,592062.2180089494,2883589.3548541865,-7.905231345708083,13.954628152393443,0.2503605501597402,5.358024177416828e-05,-7.493424886732269,24.982672174621325,29.0,1.0,270.0,-2.0,8.607715418818213
-97.79656338367415,26.066148097293244,620375.5166329355,2883589.3548541865,-7.927748458052436,13.51726357930506,0.2535726494120946,4.5482422906554925e-05,-7.510658565971259,24.3811665157559,21.0,1.0,90.0,5.0,8.607715418818213
-97.51357413124066,26.06351128634436,648688.8152569211,2883589.3548541865,-7.937491006839744,13.33230173378411,0.2597356039187652,5.712224168918952e-05,-7.510263956685533,24.39477617876148,9.0,1.0,312.0,-1.0,8.607715418818213
-98.6449345463962,26.326382281740223,535435.6207609782,2911902.653478172,-7.860145165902416,14.87336141890498,0.2438339244677185,7.45504420795686e-05,-7.459074050867878,26.22624549704545,71.0,3.0,0.0,3.0,7.545104852168523
-98.36124584985556,26.325398957006225,563748.9193849638,2911902.653478172,-7.9021396359710065,14.0157752263778,0.2393967480229201,2.692290414295373e-05,-7.508367026705119,24.46030542559418,62.0,3.0,48.0,0.0,7.545104852168523
-98.0775759609354,26.32385436170937,592062.2180089494,2911902.653478172,-7.938643201091835,13.310595410188997,0.2388173097180211,1.3291392725716453e-05,-7.545823683023355,23.198350280323453,26.0,1.0,270.0,-1.0,8.607715418818213
-97.79393322843316,26.321748670056166,620375.5166329355,2911902.653478172,-7.963826760793406,12.844887849872984,0.2425830534906334,1.1199662097389885e-05,-7.564813145422375,22.583659797721158,16.0,4.0,132.0,3.0,7.261413878822431
-97.51032599637756,26.319082119489444,648688.8152569211,2911902.653478172,-7.974486747278239,12.652699532930646,0.249784953800559,1.5914750691603688e-05,-7.563627060061484,22.62157206267962,10.0,2.0,90.0,2.0,7.941743691836643
-81.12823740822891,25.211173202182295,2319173.434072079,2911902.653478172,-8.292392522590589,8.071089802729764,0.6524227768714915,0.0187653458437856,-7.219252551747766,36.81512894324254,,,,,
-98.92847591759272,26.582452100124907,507122.3221369926,2940215.952102158,-7.820640135972787,15.72795155393631,0.2408370065368966,0.00011858804735501708,-7.424498512266437,27.54046911896022,118.0,0.0,0.0,0.0,11.522875795823396
-98.64414956592476,26.582025430364148,535435.6207609782,2940215.952102158,-7.867205343707603,14.725597960153134,0.2348053156875145,3.616929741999864e-05,-7.480984968571509,25.42606246127156,144.0,1.0,312.0,4.0,8.607715418818213
-98.35983377012133,26.581031090791555,563748.9193849638,2940215.952102158,-7.913913956310237,13.784328419395257,0.2307360033872111,1.1132168434466393e-05,-7.534387004270496,23.57660001787256,77.0,3.0,180.0,0.0,7.545104852168523
-98.0755369624235,26.57946919388659,592062.2180089494,2940215.952102158,-7.952745224048025,13.047771542510652,0.2301808194430984,4.939396092205663e-06,-7.574131468332382,22.28800907025662,24.0,0.0,0.0,-5.0,11.522875795823396
-97.79126757170684,26.57733991630652,620375.5166329355,2940215.952102158,-7.979537743580201,12.562642095050784,0.2341596343372005,4.114678346927847e-06,-7.594379419755026,21.65885820313845,19.0,2.0,270.0,-2.0,7.941743691836643
-97.50703402198867,26.574643498834163,648688.8152569211,2940215.952102158,-7.990940275955309,12.361688859700404,0.2414088469287637,6.142727084803066e-06,-7.59385805850636,21.67483317149804,10.0,1.0,90.0,-7.0,8.607715418818213
-81.09124651682433,25.454440806414347,2319173.434072079,2940215.952102158,-8.398265063254795,6.948760207966608,0.7045492240028696,0.0189318164328775,-7.23938471678783,35.78177644056486,6.0,2.0,270.0,-2.0,7.941743691836643
-80.8235718359756,25.420415912706183,2347486.7326960647,2940215.952102158,-8.388087484060515,7.049498123336147,0.7183726338505487,0.0215775233843692,-7.206469651768758,37.48669058367773,2.0,3.0,200.0,6.0,7.545104852168523
