long,lat,easting,northing,Y_mean,Y_mean_c,Y_sd,prob,quantile,quantile_c
-98.07958780223457,26.068230303570854,592062.2180089494,2883589.3548541865,-7.905231345708083,13.954628152393445,0.2503605501597402,5.358024177416828e-5,-7.493424886732269,24.982672174621325
-97.79656338367417,26.066148097293244,620375.5166329355,2883589.3548541865,-7.927748458052436,13.51726357930506,0.2535726494120946,4.5482422906554925e-5,-7.510658565971259,24.3811665157559
-97.51357413124066,26.06351128634436,648688.8152569211,2883589.3548541865,-7.937491006839744,13.33230173378411,0.2597356039187652,5.7122241689189515e-5,-7.510263956685533,24.39477617876148
-98.64493454639619,26.326382281740223,535435.6207609782,2911902.653478172,-7.860145165902416,14.873361418904981,0.24383392446771854,7.45504420795686e-5,-7.459074050867878,26.22624549704545
-98.36124584985556,26.325398957006225,563748.9193849638,2911902.653478172,-7.9021396359710065,14.015775226377801,0.23939674802292019,2.6922904142953734e-5,-7.508367026705119,24.46030542559418
-98.07757596093539,26.32385436170937,592062.2180089494,2911902.653478172,-7.938643201091835,13.310595410188995,0.23881730971802118,1.3291392725716453e-5,-7.545823683023355,23.198350280323453
-97.79393322843315,26.321748670056166,620375.5166329355,2911902.653478172,-7.963826760793406,12.844887849872984,0.24258305349063347,1.1199662097389883e-5,-7.564813145422375,22.583659797721154
-97.51032599637755,26.319082119489444,648688.8152569211,2911902.653478172,-7.974486747278239,12.652699532930646,0.24978495380055907,1.5914750691603688e-5,-7.563627060061484,22.62157206267962
-81.12823740822891,25.211173202182298,2319173.434072079,2911902.653478172,-8.292392522590589,8.071089802729764,0.6524227768714915,0.01876534584378563,-7.219252551747766,36.81512894324254
-98.92847591759273,26.582452100124907,507122.3221369926,2940215.952102158,-7.820640135972787,15.72795155393631,0.2408370065368966,1.1858804735501708e-4,-7.424498512266437,27.54046911896022
-98.64414956592475,26.582025430364148,535435.6207609782,2940215.952102158,-7.867205343707603,14.725597960153134,0.23480531568751453,3.616929741999864e-5,-7.4809849685715095,25.426062461271556
-98.35983377012131,26.581031090791555,563748.9193849638,2940215.952102158,-7.913913956310237,13.784328419395257,0.23073600338721117,1.1132168434466391e-5,-7.534387004270496,23.57660001787256
-98.0755369624235,26.57946919388659,592062.2180089494,2940215.952102158,-7.952745224048025,13.047771542510652,0.23018081944309848,4.939396092205663e-6,-7.574131468332382,22.28800907025662
-97.79126757170683,26.577339916306517,620375.5166329355,2940215.952102158,-7.979537743580201,12.562642095050785,0.23415963433720052,4.114678346927847e-6,-7.594379419755026,21.658858203138454
-97.50703402198869,26.574643498834163,648688.8152569211,2940215.952102158,-7.990940275955309,12.361688859700404,0.24140884692876377,6.142727084803066e-6,-7.59385805850636,21.67483317149804
-81.09124651682433,25.454440806414347,2319173.434072079,2940215.952102158,-8.398265063254795,6.948760207966608,0.7045492240028696,0.01893181643287758,-7.23938471678783,35.78177644056486
-80.8235718359756,25.420415912706183,2347486.7326960647,2940215.952102158,-8.388087484060515,7.049498123336147,0.7183726338505487,0.02157752338436925,-7.206469651768758,37.48669058367773
-80.55638460453466,25.385946797806522,2375800.031320051,2940215.952102158,-8.356441948306731,7.372151934790493,0.7189904508196697,0.024051646585387165,-7.173807897532524,39.2587706718457
-99.21328014285032,26.837948211552263,478809.0235130065,2968529.250726144,-7.755031550436912,17.25708019709963,0.24258122833946483,3.639696921617867e-4,-7.3560209371724,30.340869807601667
-98.92831601491417,26.838090829133403,507122.3221369926,2968529.250726144,-7.808320975991291,16.004359115750823,0.23471504166530616,9.996285741478509e-5,-7.422249088408046,27.628216991188694
